TeamID,Key,School
1,SMU,SMU
2,TEMPL,Temple
3,UCONN,Connecticut
4,CIN,Cincinnati
5,TULSA,Tulsa
6,HOU,Houston
7,MPHS,Memphis
8,UCF,UCF
9,ECAR,East Carolina
10,TULANE,Tulane
11,SFL,South Florida
12,STBR,Stony Brook
13,ALBNY,Albany
14,NHAMP,New Hampshire
15,VERM,Vermont
16,MASLOW,Massachusetts-Lowell
17,MAINE,Maine
18,HARTFD,Hartford
19,UMBC,UMBC
20,BING,Binghamton
21,NCAR,North Carolina
22,VIR,Virginia
23,MIA,Miami
24,LOU,Louisville
25,ND,Notre Dame
26,DUKE,Duke
27,CLMSN,Clemson
28,PITT,Pittsburgh
29,FLST,Florida State
30,SYRA,Syracuse
31,VTECH,Virginia Tech
32,GTECH,Georgia Tech
33,NCST,North Carolina State
34,WAKE,Wake Forest
35,BOSCOL,Boston College
36,NFL,North Florida
37,JAX,Jacksonville
38,FLGC,Florida Gulf Coast
39,NJIT,NJIT
40,LIPSC,Lipscomb
41,STETSN,Stetson
42,KENEST,Kennesaw State
43,SCUP,USC Upstate
44,DAY,Dayton
45,VCU,VCU
46,STJOE,Saint Joseph's
47,STBON,St. Bonaventure
48,GEOWS,George Washington
49,DAVID,Davidson
50,RI,Rhode Island
51,DUQ,Duquesne
52,RICH,Richmond
53,FORDM,Fordham
54,STLOU,Saint Louis
55,UMASS,Massachusetts
56,GMSN,George Mason
57,LASAL,La Salle
58,VILL,Villanova
59,XAV,Xavier
60,SETON,Seton Hall
61,CREIGH,Creighton
62,GEORGE,Georgetown
63,PROV,Providence
64,BUTL,Butler
65,MARQ,Marquette
66,DEPAUL,DePaul
67,STJOHN,St. John's
68,MONT,Montana
69,WEBST,Weber State
70,EWASH,Eastern Washington
71,NDAK,North Dakota
72,IDHST,Idaho State
73,IDAHO,Idaho
74,MONST,Montana State
75,NCOL,Northern Colorado
76,PORTST,Portland State
77,SACST,Sacramento State
78,SUTAH,Southern Utah
79,NARZ,Northern Arizona
80,NCASHE,UNC Asheville
81,COAST,Coastal Carolina
82,WINTH,Winthrop
83,GARDWB,Gardner-Webb
84,LIBRTY,Liberty
85,HPNT,High Point
86,RADF,Radford
87,LONGWD,Longwood
88,CHSOU,Charleston Southern
89,PRESB,Presbyterian
90,CAMP,Campbell
91,IOWA,Iowa
92,MARY,Maryland
93,IND,Indiana
94,PUR,Purdue
95,MICH,Michigan
96,WISC,Wisconsin
97,MST,Michigan State
98,OHIOST,Ohio State
99,NEBR,Nebraska
100,NW,Northwestern
101,PENNST,Penn State
102,ILL,Illinois
103,RUTGER,Rutgers
104,MINNST,Minnesota
105,OKL,Oklahoma
106,KAN,Kansas
107,WVIR,West Virginia
108,BAYL,Baylor
109,TX,Texas
110,IOWAST,Iowa State
111,TXTECH,Texas Tech
112,KANST,Kansas State
113,OKST,Oklahoma State
114,TCU,TCU
115,HAWAII,Hawaii
116,UCIRV,UC Irvine
117,LBST,Long Beach State
118,UCDV,UC Davis
119,USCB,UC Santa Barbara
120,UCRVS,UC Riverside
121,CSUNR,CSUN
122,CALPOL,Cal Poly
123,CSUFL,Cal State Fullerton
124,NCW,UNCW
125,WM,William & Mary
126,JMAD,James Madison
127,TOWS,Towson
128,HOFST,Hofstra
