TeamID,Key,School,Name,Conference
1,SMU,SMU,Mustangs,Atlantic Coast
2,TEMPL,Temple,Owls,American
3,UCONN,Connecticut,Huskies,Big East
4,CIN,Cincinnati,Bearcats,Big 12
5,TULSA,Tulsa,Golden Hurricane,American
6,HOU,Houston,Cougars,Big 12
7,MPHS,Memphis,Tigers,American
8,UCF,UCF,Knights,Big 12
9,ECAR,East Carolina,Pirates,American
10,TULANE,Tulane,Green Wave,American
11,SFL,South Florida,Bulls,American
12,STBR,Stony Brook,Seawolves,Coastal Athletic Association
13,ALBNY,Albany,Great Danes,America East
14,NHAMP,New Hampshire,Wildcats,America East
15,VERM,Vermont,Catamounts,America East
16,MASLOW,Massachusetts-Lowell,River Hawks,America East
17,MAINE,Maine,Black Bears,America East
18,HARTFD,Hartford,Hawks,
19,UMBC,UMBC,Retrievers,America East
20,BING,Binghamton,Bearcats,America East
21,NCAR,North Carolina,Tar Heels,Atlantic Coast
22,VIR,Virginia,Cavaliers,Atlantic Coast
23,MIA,Miami,Hurricanes,Atlantic Coast
24,LOU,Louisville,Cardinals,Atlantic Coast
25,ND,Notre Dame,Fighting Irish,Atlantic Coast
26,DUKE,Duke,Blue Devils,Atlantic Coast
27,CLMSN,Clemson,Tigers,Atlantic Coast
28,PITT,Pittsburgh,Panthers,Atlantic Coast
29,FLST,Florida State,Seminoles,Atlantic Coast
30,SYRA,Syracuse,Orange,Atlantic Coast
31,VTECH,Virginia Tech,Hokies,Atlantic Coast
32,GTECH,Georgia Tech,Yellow Jackets,Atlantic Coast
33,NCST,North Carolina State,Wolfpack,Atlantic Coast
34,WAKE,Wake Forest,Demon Deacons,Atlantic Coast
35,BOSCOL,Boston College,Eagles,Atlantic Coast
36,NFL,North Florida,Ospreys,Atlantic Sun
37,JAX,Jacksonville,Dolphins,Atlantic Sun
38,FLGC,Florida Gulf Coast,Eagles,Atlantic Sun
39,NJIT,NJIT,Highlanders,America East
40,LIPSC,Lipscomb,Bisons,Atlantic Sun
41,STETSN,Stetson,Hatters,Atlantic Sun
42,KENEST,Kennesaw State,Owls,Conference USA
43,SCUP,USC Upstate,Spartans,Big South
44,DAY,Dayton,Flyers,Atlantic 10
45,VCU,VCU,Rams,Atlantic 10
46,STJOE,Saint Joseph's,Hawks,Atlantic 10
47,STBON,St. Bonaventure,Bonnies,Atlantic 10
48,GEOWS,George Washington,Revolutionaries,Atlantic 10
49,DAVID,Davidson,Wildcats,Atlantic 10
50,RI,Rhode Island,Rams,Atlantic 10
51,DUQ,Duquesne,Dukes,Atlantic 10
52,RICH,Richmond,Spiders,Atlantic 10
53,FORDM,Fordham,Rams,Atlantic 10
54,STLOU,Saint Louis,Billikens,Atlantic 10
55,UMASS,Massachusetts,Minutemen,Mid-American
56,GMSN,George Mason,Patriots,Atlantic 10
57,LASAL,La Salle,Explorers,Atlantic 10
58,VILL,Villanova,Wildcats,Big East
59,XAV,Xavier,Musketeers,Big East
60,SETON,Seton Hall,Pirates,Big East
61,CREIGH,Creighton,Bluejays,Big East
62,GEORGE,Georgetown,Hoyas,Big East
63,PROV,Providence,Friars,Big East
64,BUTL,Butler,Bulldogs,Big East
65,MARQ,Marquette,Golden Eagles,Big East
66,DEPAUL,DePaul,Blue Demons,Big East
